time,throughput_mbps,latency_max,segment_loss_rate_weighted
1.0294528007507324,0,0,0
2.0502686500549316,0,0,0
3.0751872062683105,0,0,0
4.094157457351685,0,0,0
5.098780870437622,0,0,0
6.119554042816162,0,0,0
7.142539978027344,0,0,0
8.161044359207153,0,0,0
9.186992883682251,0,0,0
10.216265439987183,0,0,0
11.239886283874512,0,0,0
12.263385534286499,0,0,0
13.284083843231201,0,0,0
14.339489221572876,0,0,0
15.36672830581665,0,0,0
16.396021604537964,0,0,0
17.403697967529297,0,0,0
18.41530156135559,0,0,0
19.42791986465454,0,0,0
20.447489261627197,0,0,0
21.470579385757446,0,0,0
22.49557328224182,0,0,0
23.515626430511475,0,0,0
24.54425048828125,0,0,0
25.56628155708313,0,0,0
26.60475468635559,0,0,0
27.636043548583984,0,0,0
28.66092276573181,0,0,0
29.69178342819214,0,0,0
