time,throughput_mbps,latency_max,segment_loss_rate_weighted
1.0309090614318848,0,0,0
2.060023307800293,0,0,0
3.0834264755249023,0,0,0
4.111456632614136,0,0,0
5.135430097579956,0,0,0
6.157517671585083,0,0,0
7.178563356399536,0,0,0
8.195873022079468,0,0,0
9.213370323181152,0,0,0
10.267441749572754,0,0,0
11.287718534469604,0,0,0
12.309253931045532,0,0,0
13.324114561080933,0,0,0
14.350025653839111,0,0,0
15.37649416923523,0,0,0
16.39590358734131,0,0,0
17.429867029190063,0,0,0
18.449769258499146,0,0,0
19.46869993209839,0,0,0
20.494401216506958,0,0,0
21.520204544067383,0,0,0
22.531323671340942,0,0,0
23.546109437942505,0,0,0
24.55307912826538,0,0,0
25.562370777130127,0,0,0
26.575353622436523,0,0,0
27.60699701309204,0,0,0
28.628004789352417,0,0,0
29.64575433731079,0,0,0
