time,throughput_mbps,latency_max,segment_loss_rate_weighted
1.0475401878356934,0,0,0
2.071443796157837,0,0,0
3.112811803817749,0,0,0
4.1323511600494385,0,0,0
5.167535305023193,0,0,0
6.178659439086914,0,0,0
7.213024377822876,0,0,0
8.242746353149414,0,0,0
9.259660243988037,0,0,0
10.288832187652588,0,0,0
11.326454401016235,0,0,0
12.362992286682129,0,0,0
13.400622129440308,0,0,0
14.41800045967102,0,0,0
15.439489603042603,0,0,0
16.45131206512451,0,0,0
17.477938175201416,0,0,0
18.499359846115112,0,0,0
19.53924822807312,0,0,0
20.569079399108887,0,0,0
21.607826948165894,0,0,0
22.642590284347534,0,0,0
23.678693532943726,0,0,0
24.69106912612915,0,0,0
25.717504739761353,0,0,0
26.735729217529297,0,0,0
27.767576932907104,0,0,0
28.793678760528564,0,0,0
29.830504417419434,0,0,0
